,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
36,random,0.2629825925030641,0.0,0.8894864078443878,"[0.00000000e+00 1.64421237e-04 5.07413903e-04 1.02339764e-03
 1.89991231e-03 3.48214286e-03 6.63371599e-03 1.22874150e-02
 2.27250744e-02 4.20502498e-02 7.75400590e-02 1.42765864e-01
 2.62881856e-01 4.83882334e-01 8.89486408e-01]","[0.8902086  0.88976693 0.89075445 0.89268751 0.88931025 0.8938061
 0.89183612 0.89367144 0.84463045 0.78538505 0.69174768 0.59161087
 0.38949545 0.12296008 0.09193214]",ColorHistogram,0.0,1.0,0.0,0.2629825925030641,timm_resnet50,5000,36
37,random,0.26504770275408074,0.0,0.8893985836522101,"[0.00000000e+00 1.68606505e-04 5.08011798e-04 1.02578922e-03
 1.88855230e-03 3.46161511e-03 6.61969866e-03 1.22596460e-02
 2.26915258e-02 4.19832191e-02 7.74590774e-02 1.42670068e-01
 2.62761612e-01 4.83765745e-01 8.89398584e-01]","[0.8902086  0.88973056 0.89327993 0.89503801 0.90088571 0.89125858
 0.88256825 0.87920414 0.84834638 0.8047102  0.73769797 0.60063599
 0.44305971 0.12615697 0.0348628 ]",ConstantValueImputer,0.0,1.0,0.0,0.26504770275408074,timm_resnet50,5000,37
35,random,0.3087541457396403,0.0,0.8895024181547616,"[0.00000000e+00 1.67809311e-04 5.06218112e-04 1.02698501e-03
 1.89572704e-03 3.46998565e-03 6.63006218e-03 1.22731319e-02
 2.26944489e-02 4.20117852e-02 7.74826610e-02 1.42733711e-01
 2.62863321e-01 4.83862404e-01 8.89502418e-01]","[0.8902086  0.88830973 0.88445083 0.88580366 0.87962452 0.87842266
 0.87980138 0.85865052 0.83427707 0.75558599 0.62989186 0.47779812
 0.24083234 0.10444404 0.545416  ]",TrainSet,0.0,1.0,0.0,0.3087541457396403,timm_resnet50,5000,35
6,random,0.409634522535059,0.0,1.0,"[0.         0.0098585  0.01976038 0.02981804 0.04983458 0.06965774
 0.09965063 0.12944276 0.18953823 0.25952873 0.36958293 0.51020534
 0.71052927 1.        ]","[0.79862977 0.79625948 0.79041962 0.77680729 0.75756967 0.74579507
 0.73975745 0.71520523 0.63337518 0.56371767 0.43725041 0.38460353
 0.30185743 0.02833202]",ColorHistogram,0.0,1.0,0.0,0.409634522535059,ResNet50,100,6
7,random,0.41730960059827765,0.0,1.0,"[0.         0.00999063 0.01984581 0.02969527 0.04952102 0.0694399
 0.09947498 0.12962552 0.18963402 0.25978894 0.36971859 0.5101506
 0.71004172 1.        ]","[0.79862977 0.79416107 0.79456643 0.79745814 0.78604037 0.77289369
 0.7402652  0.68573307 0.60900175 0.53133452 0.45377995 0.36953957
 0.35118114 0.03096014]",ConstantValueImputer,0.0,1.0,0.0,0.41730960059827765,ResNet50,100,7
2,random,0.4540882941352378,0.0,1.0,"[0.         0.03990327 0.0797542  0.11961595 0.1992899  0.23939991
 0.27953391 0.35943067 0.479772   0.59947286 0.76006218 1.        ]","[0.79862977 0.78111475 0.7685441  0.75062529 0.68337694 0.65416382
 0.61709688 0.55455297 0.47096333 0.37670521 0.29334422 0.03096014]",ConstantValueImputer,0.0,1.0,0.0,0.4540882941352378,ResNet50,25,2
8,random,0.4551597099101209,0.0,1.0,"[0.         0.00983677 0.01970205 0.02957855 0.04944867 0.06941034
 0.09940828 0.12930531 0.18955025 0.25951318 0.36992759 0.51013765
 0.7105688  1.        ]","[0.79862977 0.79333867 0.78935267 0.78553169 0.78756748 0.78168241
 0.78377402 0.7701933  0.73973659 0.67463568 0.59322604 0.42698155
 0.28578542 0.03096014]",cv2,0.0,1.0,0.0,0.4551597099101209,ResNet50,100,8
16,random,0.4581495522240163,0.0,0.8894623591624148,"[0.00000000e+00 1.68008610e-04 5.05221620e-04 1.02299904e-03
 1.89652423e-03 3.47078284e-03 6.63165657e-03 1.22840269e-02
 2.27103928e-02 4.20178306e-02 7.74815981e-02 1.42710791e-01
 2.62835552e-01 4.83783349e-01 8.89462359e-01]","[0.79862977 0.79873058 0.79598194 0.78869644 0.7842267  0.78145462
 0.76854847 0.74323865 0.70914743 0.6225168  0.57449965 0.51527719
 0.58532898 0.57602545 0.29705468]",ColorHistogram,0.0,1.0,0.0,0.4581495522240163,ResNet50,5000,16
13,random,0.48743055571055965,0.0,1.0,"[0.         0.00201086 0.00403659 0.00609548 0.01019006 0.01834934
 0.02860352 0.04497309 0.06969162 0.1110038  0.17298277 0.27219474
 0.42350254 0.66151208 1.        ]","[0.79862977 0.79585099 0.79439648 0.7934049  0.79633363 0.78822805
 0.79216439 0.79185943 0.78238488 0.79111174 0.77323837 0.74807337
 0.59687187 0.33953836 0.03096014]",cv2,0.0,1.0,0.0,0.48743055571055965,ResNet50,500,13
11,random,0.4902635463577805,0.0,1.0,"[0.         0.00204945 0.00408708 0.00612318 0.01020973 0.01836117
 0.02861973 0.04500638 0.06969394 0.11091511 0.17282612 0.27205736
 0.42337771 0.66182896 1.        ]","[0.79862977 0.7887435  0.79036291 0.79363958 0.79676617 0.77134251
 0.75569984 0.73861219 0.70551509 0.62148251 0.53521075 0.48323464
 0.56893496 0.5973967  0.02667637]",ColorHistogram,0.0,1.0,0.0,0.4902635463577805,ResNet50,500,11
