,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
105,ig_nt,0.04506078793752616,0.0,0.8884614822491496,"[0.00000000e+00 1.77774235e-04 5.35315689e-04 1.07282366e-03
 1.96767379e-03 3.57946694e-03 6.80292039e-03 1.25279018e-02
 2.30862697e-02 4.25664993e-02 7.82904177e-02 1.43768668e-01
 2.63953617e-01 4.83809922e-01 8.88461482e-01]","[6.90591972e-01 6.95737445e-01 6.94627521e-01 6.83353652e-01
 6.72654794e-01 6.50451914e-01 6.12520736e-01 5.31211251e-01
 4.34509586e-01 2.93990482e-01 1.71244951e-01 7.92012111e-02
 2.11786655e-02 4.39421475e-04 6.69547956e-04]",TrainSet,-0.01085265920830731,0.8059025196568296,-0.19409748034317043,0.05591344714583347,ResNet50,5000,15
106,ig,0.04684976962092996,0.0,0.8885303066539114,"[0.00000000e+00 1.79368622e-04 5.37507972e-04 1.07441805e-03
 1.97006537e-03 3.58258929e-03 6.80106027e-03 1.25243144e-02
 2.30737803e-02 4.25364052e-02 7.82527503e-02 1.43737577e-01
 2.63892698e-01 4.84000651e-01 8.88530307e-01]","[0.690528   0.68528199 0.67152585 0.6571431  0.64355604 0.60259097
 0.57081213 0.50689918 0.41358269 0.29304919 0.17245878 0.0819684
 0.03155661 0.00168854 0.00183523]",TrainSet,-0.009063677524903509,0.8378980730473723,-0.16210192695262773,0.05591344714583347,ResNet50,5000,15
107,random,0.05591344714583347,0.0,0.8894513977465986,"[0.00000000e+00 1.62627551e-04 5.07015306e-04 1.02658642e-03
 1.89353476e-03 3.47217793e-03 6.63291879e-03 1.22632999e-02
 2.26763791e-02 4.19626249e-02 7.74480495e-02 1.42692854e-01
 2.62770249e-01 4.83786472e-01 8.89451398e-01]","[0.690528   0.69050211 0.6923846  0.68673122 0.67778074 0.65726568
 0.61272975 0.55006849 0.4571394  0.3531224  0.21218656 0.10914313
 0.04002058 0.00179954 0.00377984]",TrainSet,0.0,1.0,0.0,0.05591344714583347,ResNet50,5000,15
119,ig_nt,0.05748891501956249,0.0,0.8884614822491496,"[0.00000000e+00 1.77774235e-04 5.35315689e-04 1.07282366e-03
 1.96767379e-03 3.57946694e-03 6.80292039e-03 1.25279018e-02
 2.30862697e-02 4.25664993e-02 7.82904177e-02 1.43768668e-01
 2.63953617e-01 4.83809922e-01 8.88461482e-01]","[6.90591972e-01 6.93688519e-01 6.94527008e-01 6.86465313e-01
 6.84656621e-01 6.70131857e-01 6.41557859e-01 5.87635804e-01
 5.04697523e-01 3.41628471e-01 2.27939904e-01 1.21743543e-01
 3.11937053e-02 3.61208336e-03 1.45351281e-04]",ConstantValueImputer,-0.04598522051033253,0.5555872945945337,-0.44441270540546635,0.10347413552989503,ResNet50,5000,17
108,input_x_gradients,0.059118003044112286,0.0,0.8886730043579931,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07441805e-03
 1.96827168e-03 3.57780612e-03 6.79209184e-03 1.25144824e-02
 2.30597630e-02 4.25214578e-02 7.81932929e-02 1.43592953e-01
 2.63722829e-01 4.83958134e-01 8.88673004e-01]","[6.90528001e-01 6.73508787e-01 6.56323613e-01 6.46342422e-01
 6.36638291e-01 6.21802750e-01 5.83829514e-01 5.41167333e-01
 4.76483153e-01 3.83691627e-01 2.68338780e-01 1.25647557e-01
 2.99826538e-02 2.25725973e-03 3.04221962e-04]",TrainSet,0.003204555898278817,1.0573127943609109,0.057312794360910954,0.05591344714583347,ResNet50,5000,15
120,ig,0.06158435051425141,0.0,0.8885303066539114,"[0.00000000e+00 1.79368622e-04 5.37507972e-04 1.07441805e-03
 1.97006537e-03 3.58258929e-03 6.80106027e-03 1.25243144e-02
 2.30737803e-02 4.25364052e-02 7.82527503e-02 1.43737577e-01
 2.63892698e-01 4.84000651e-01 8.88530307e-01]","[6.90528001e-01 6.84628639e-01 6.71907034e-01 6.61252139e-01
 6.48028506e-01 6.22138126e-01 5.91755386e-01 5.51325264e-01
 4.75061544e-01 3.68594277e-01 2.29533932e-01 1.20549741e-01
 5.06666633e-02 7.61467016e-03 8.35536058e-05]",ConstantValueImputer,-0.04188978501564362,0.5951666104662346,-0.4048333895337653,0.10347413552989503,ResNet50,5000,17
109,zennit,0.0625493278022516,0.0,0.8951866762329926,"[0.00000000e+00 1.79368622e-04 5.37840136e-04 1.07574670e-03
 1.97305485e-03 3.58690742e-03 6.81474543e-03 1.25553385e-02
 2.31372901e-02 4.26894664e-02 7.85629252e-02 1.44390545e-01
 2.65455530e-01 4.87977121e-01 8.95186676e-01]","[6.90528001e-01 6.85793240e-01 6.73958893e-01 6.64923642e-01
 6.66646825e-01 6.46055009e-01 6.16875935e-01 5.66798026e-01
 5.05747728e-01 4.05520722e-01 2.63765103e-01 1.22592395e-01
 3.67304275e-02 5.26290252e-03 1.81353950e-04]",TrainSet,0.006635880656418132,1.1186813011029426,0.11868130110294266,0.05591344714583347,ResNet50,5000,15
70,ig,0.0633405022896289,0.0,1.0,"[0.         0.00202434 0.0040528  0.00607143 0.01009048 0.01820412
 0.0283344  0.04451331 0.06889728 0.10965289 0.17102552 0.26994513
 0.42193931 0.6626975  1.        ]","[0.690528   0.66453488 0.65162857 0.64015521 0.61731381 0.5692277
 0.5047372  0.44004752 0.31736865 0.20602147 0.09775407 0.03164337
 0.00255629 0.00069484 0.00105467]",TrainSet,-0.03150255212590394,0.6678454493053037,-0.3321545506946963,0.09484305441553284,ResNet50,500,10
245,ig_nt,0.06395636690313863,0.0,0.8883336654974491,"[0.00000000e+00 1.78770727e-04 5.37507972e-04 1.07481665e-03
 1.97106186e-03 3.58458227e-03 6.81142379e-03 1.25469016e-02
 2.31130421e-02 4.26304076e-02 7.84101297e-02 1.44011745e-01
 2.64382308e-01 4.84134580e-01 8.88333665e-01]","[0.7595018  0.75989226 0.74916777 0.7503531  0.74056793 0.71029626
 0.6886221  0.63121097 0.54816292 0.41620671 0.26690527 0.13796394
 0.02620879 0.00345191 0.00141764]",TrainSet,-0.03840730593169439,0.6247955464272391,-0.3752044535727609,0.10236367283483302,timm_resnet50,5000,35
112,ig_nt,0.06613570865857755,0.0,0.8884614822491496,"[0.00000000e+00 1.77774235e-04 5.35315689e-04 1.07282366e-03
 1.96767379e-03 3.57946694e-03 6.80292039e-03 1.25279018e-02
 2.30862697e-02 4.25664993e-02 7.82904177e-02 1.43768668e-01
 2.63953617e-01 4.83809922e-01 8.88461482e-01]","[6.90591972e-01 6.92899954e-01 6.90516114e-01 6.86505328e-01
 6.79484514e-01 6.60409291e-01 6.34566931e-01 5.79508972e-01
 5.24724696e-01 3.84998322e-01 2.44073810e-01 1.44635378e-01
 5.09585337e-02 6.58582138e-03 3.81817132e-04]",ColorHistogram,-0.031009690038347956,0.6807909540307506,-0.31920904596924937,0.09714539869692551,ResNet50,5000,16
