,method,auc,xmin,xmax,x_occluded_fraction,f_remaining,imputer_pf,auc_diff,auc_normalized,auc_diff_normalized,auc_baseline,model,n_superpixel,identifier_exp
105,ig_nt,0.045562391581949094,0.0,0.8885115725977895,"[0.00000000e+00 1.78770727e-04 5.36910077e-04 1.07302296e-03
 1.96667730e-03 3.57800542e-03 6.80006378e-03 1.25292304e-02
 2.30846088e-02 4.25795201e-02 7.83221062e-02 1.43831845e-01
 2.64050675e-01 4.84024434e-01 8.88511573e-01]","[6.90591972e-01 6.85943862e-01 6.86996829e-01 6.78348630e-01
 6.65887512e-01 6.50015505e-01 6.12603590e-01 5.27325827e-01
 4.14907605e-01 2.85393817e-01 1.74349863e-01 8.62144243e-02
 2.24576142e-02 6.48234938e-04 5.56560359e-04]",TrainSet,-0.011438043696666116,0.7993340991036727,-0.20066590089632727,0.05700043527861521,ResNet50,5000,15
106,ig,0.05361374843602765,0.0,0.8885463169642855,"[0.00000000e+00 1.79368622e-04 5.36910077e-04 1.07501594e-03
 1.96946747e-03 3.57780612e-03 6.79567921e-03 1.25181362e-02
 2.30661405e-02 4.25486288e-02 7.82750717e-02 1.43738308e-01
 2.63911365e-01 4.83869513e-01 8.88546317e-01]","[6.90591972e-01 6.87790400e-01 6.74404824e-01 6.60619495e-01
 6.45435620e-01 6.20119575e-01 5.87874542e-01 5.18025275e-01
 4.31910958e-01 3.38326661e-01 2.00960718e-01 1.11808736e-01
 3.45048423e-02 3.52942573e-03 5.20355131e-04]",TrainSet,-0.003386686842587562,0.940584895079597,-0.05941510492040298,0.05700043527861521,ResNet50,5000,15
107,random,0.05700043527861521,0.0,0.8894678730867348,"[0.00000000e+00 1.66015625e-04 5.04225128e-04 1.02260045e-03
 1.89194037e-03 3.46340880e-03 6.62747130e-03 1.22729990e-02
 2.26948475e-02 4.19975686e-02 7.74606718e-02 1.42683952e-01
 2.62777756e-01 4.83782751e-01 8.89467873e-01]","[0.69059197 0.68891548 0.68837043 0.68758674 0.67263556 0.6411911
 0.60731473 0.56597724 0.47772137 0.34781834 0.20394356 0.11809762
 0.03541697 0.00587317 0.0035572 ]",TrainSet,0.0,1.0,0.0,0.05700043527861521,ResNet50,5000,15
108,input_x_gradients,0.0626565722912753,0.0,0.8886476270195578,"[0.00000000e+00 1.79368622e-04 5.37507972e-04 1.07382015e-03
 1.96767379e-03 3.57840402e-03 6.79328763e-03 1.25091677e-02
 2.30524554e-02 4.25127551e-02 7.81925622e-02 1.43582921e-01
 2.63686224e-01 4.83854366e-01 8.88647627e-01]","[6.90591972e-01 6.77819420e-01 6.65512588e-01 6.61152341e-01
 6.50453144e-01 6.36971377e-01 5.93835956e-01 5.37167804e-01
 4.89182874e-01 3.98408437e-01 2.61059014e-01 1.40018119e-01
 3.75286408e-02 4.31926924e-03 1.76190244e-04]",TrainSet,0.005656137012660094,1.0992297161418714,0.0992297161418713,0.05700043527861521,ResNet50,5000,15
70,ig_nt,0.07491122152313823,0.0,1.0,"[0.         0.00197571 0.00395262 0.00594946 0.00994553 0.01797154
 0.02795759 0.04407844 0.06822026 0.10871127 0.16992188 0.26914893
 0.42197199 0.66420407 1.        ]","[6.90591972e-01 6.86135162e-01 6.76561282e-01 6.62061954e-01
 6.34446653e-01 6.06424001e-01 5.58476455e-01 4.77046030e-01
 3.68601540e-01 2.38241541e-01 1.43096633e-01 4.78161774e-02
 6.72267985e-03 5.33739782e-04 2.15738693e-03]",TrainSet,-0.015507921331350524,0.8284885164604207,-0.17151148353957937,0.09041914285448875,ResNet50,500,10
112,ig_nt,0.0792255616591991,0.0,0.8885115725977895,"[0.00000000e+00 1.78770727e-04 5.36910077e-04 1.07302296e-03
 1.96667730e-03 3.57800542e-03 6.80006378e-03 1.25292304e-02
 2.30846088e-02 4.25795201e-02 7.83221062e-02 1.43831845e-01
 2.64050675e-01 4.84024434e-01 8.88511573e-01]","[0.69059197 0.68698763 0.68707178 0.68747701 0.67286652 0.66167381
 0.63897066 0.58379256 0.51975321 0.40480247 0.27130841 0.18015421
 0.06900065 0.02173062 0.00073825]",ColorHistogram,-0.01880062759739283,0.8082081151988824,-0.19179188480111758,0.09802618925659193,ResNet50,5000,16
245,ig_nt,0.07980591606775547,0.0,0.8883259592899663,"[0.00000000e+00 1.79368622e-04 5.37507972e-04 1.07548097e-03
 1.96993250e-03 3.58305432e-03 6.80909864e-03 1.25413212e-02
 2.31074617e-02 4.26263552e-02 7.84068080e-02 1.43984641e-01
 2.64306973e-01 4.83820286e-01 8.88325959e-01]","[0.7595018  0.76029726 0.7555177  0.74993182 0.74606808 0.73145595
 0.71989776 0.67022248 0.57205892 0.44408709 0.28899939 0.16531159
 0.0672411  0.01467583 0.00180877]",TrainSet,-0.01909069278812732,0.8069631202830498,-0.19303687971695022,0.09889660885588279,timm_resnet50,5000,35
71,ig,0.07999865406780085,0.0,1.0,"[0.         0.00200986 0.00403792 0.00609023 0.01014416 0.01823754
 0.0283908  0.04463389 0.06901985 0.1098383  0.17137443 0.27068977
 0.42299081 0.66376873 1.        ]","[6.90591972e-01 6.69915189e-01 6.54603162e-01 6.41171961e-01
 6.16796832e-01 5.84749728e-01 5.52215923e-01 4.71698461e-01
 3.90493921e-01 2.59713849e-01 1.55239831e-01 6.58166970e-02
 8.73402379e-03 6.05521365e-04 1.67446251e-04]",TrainSet,-0.010420488786687901,0.8847535106204495,-0.11524648937955054,0.09041914285448875,ResNet50,500,10
72,input_x_gradients,0.08041404385082149,0.0,1.0,"[0.         0.00204965 0.00410236 0.00613753 0.0102466  0.01839053
 0.02856572 0.04487929 0.06939739 0.11027776 0.17190888 0.27089658
 0.42265552 0.66296888 1.        ]","[6.90591972e-01 6.72676205e-01 6.66764040e-01 6.62082173e-01
 6.47252226e-01 6.11081363e-01 5.71753468e-01 4.87358396e-01
 4.07964325e-01 2.92928810e-01 1.46453604e-01 5.57072874e-02
 1.62065440e-03 3.32281152e-04 1.96356880e-03]",TrainSet,-0.010005099003667264,0.8893475575214372,-0.11065244247856275,0.09041914285448875,ResNet50,500,10
119,ig_nt,0.08085788812358034,0.0,0.8885115725977895,"[0.00000000e+00 1.78770727e-04 5.36910077e-04 1.07302296e-03
 1.96667730e-03 3.57800542e-03 6.80006378e-03 1.25292304e-02
 2.30846088e-02 4.25795201e-02 7.83221062e-02 1.43831845e-01
 2.64050675e-01 4.84024434e-01 8.88511573e-01]","[6.90591972e-01 6.86471713e-01 6.90664528e-01 6.89136513e-01
 6.78255838e-01 6.63462545e-01 6.41279834e-01 5.98805662e-01
 5.31137749e-01 4.08349216e-01 2.83440000e-01 1.84475085e-01
 8.43824839e-02 1.42802113e-02 3.00348412e-04]",ConstantValueImputer,-0.026015604187482957,0.7565757081113941,-0.24342429188860595,0.1068734923110633,ResNet50,5000,17
